,estcodigo,estnome,orgsigla,esttipo,estlongitude,estlatitude,estaltitude,estiniciooperacao
3407,23484608,MOGI DAS CRUZES - ,CEMADEN,P,-46.0861,-23.4822,,2014-12-16
3408,23414603,GUARAREMA - ,CEMADEN,P,-46.0301,-23.4178,,2014-12-16
3409,23244685,JUNDIAÍ - ,CEMADEN,P,-46.8553,-23.2475,,2014-12-16
3410,23624645,SÃO PAULO - Jardim Rodolfo Pirani,CEMADEN,P,-46.45688,-23.62036,,2014-12-16
3411,19594319,ITABIRA - ,CEMADEN,P,-43.1952,-19.5954,,2014-12-16
3412,22024235,CORDEIRO - Duas Barras,CEMADEN,P,-42.359,-22.026,,2014-12-16
3413,19824312,JOÃO MONLEVADE - ,CEMADEN,P,-43.1259,-19.8295,,2014-12-16
3414,19814318,JOÃO MONLEVADE - ,CEMADEN,P,-43.188,-19.8166,,2014-12-17
3415,20564183,ESPERA FELIZ - ,CEMADEN,P,-41.8371,-20.5678,,2014-12-17
3416,22234253,NOVA FRIBURGO - Jardim Califórnia,CEMADEN,P,-42.536,-22.239,,2014-12-17
3417,22234254,NOVA FRIBURGO - São Geraldo,CEMADEN,P,-42.547,-22.239,,2014-12-17
3418,23284671,FRANCISCO MORATO - ,CEMADEN,P,-46.7114,-23.288,,2014-12-17
3419,19034342,CONCEIÇÃO DO MATO DENTRO - ,CEMADEN,P,-43.4261,-19.0345,,2014-12-17
3420,19434255,IPATINGA - ,CEMADEN,P,-42.5538,-19.4368,,2014-12-17
3421,19474258,IPATINGA - ,CEMADEN,P,-42.5805,-19.4761,,2014-12-17
3422,20354195,MANHUMIRIM - ,CEMADEN,P,-41.9563,-20.3584,,2014-12-17
3423,20724214,CARANGOLA - ,CEMADEN,P,-42.1478,-20.726,,2014-12-17
3424,22344252,NOVA FRIBURGO - Mury,CEMADEN,P,-42.513,-22.34,,2014-12-17
3425,20154161,LAJINHA - ,CEMADEN,P,-41.6154,-20.1507,,2014-12-17
3426,23274671,FRANCISCO MORATO - ,CEMADEN,P,-46.7191,-23.2731,,2014-12-17
3427,19504255,IPATINGA - ,CEMADEN,P,-42.5548,-19.508,,2014-12-17
3428,20224264,RIO CASCA - ,CEMADEN,P,-42.6485,-20.2276,,2014-12-17
3429,10683959,CANSANÇÃO - CANSANÇÃO,CEMADEN,P,-39.59344,-10.68723,,2014-12-17
3430,20724203,CARANGOLA - ,CEMADEN,P,-42.0305,-20.7289,,2014-12-17
3431,25494905,Vossoroca,Simepar,H,-49.0833,-25.8166,851.0,1997-06-01
3432,23744654,SÃO BERNARDO DO CAMPO - Jardim Silvina,CEMADEN,P,-46.537,-23.737,,2015-08-25
3433,25485254,Bela Vista Jusante,Simepar,H,-52.5422,-25.482,430.0,2015-09-01
3434,19624343,ITABIRA - Ipoema,CEMADEN,P,-43.43,-19.622,,2014-12-17
3435,25084852,Capivari,Simepar,H,-48.8666,-25.1333,758.0,1997-06-01
3436,22874307,NITERÓI - Morro do Castro,CEMADEN,P,-43.07,-22.869,,2015-08-13
3437,23414687,SANTANA DE PARNAÍBA - Jardim Nina (Fazendinha),CEMADEN,P,-46.869,-23.408,,2015-08-15
3438,22674675,AMPARO - Parque A. Batone,CEMADEN,P,-46.753,-22.666,,2015-08-13
3439,26445235,Clevelândia,Inmet,M,-52.34874,-26.4172,966.06,2008-05-15
3440,23354676,CAIEIRAS - Jardim Marcelino,CEMADEN,P,-46.76283,-23.34621,,2015-08-16
3441,2654490,PALMEIRÂNDIA - Prefeitura Municipal,CEMADEN,P,-44.89871,-2.64576,,2015-08-17
3442,22864311,Niterói,Inmet,M,-43.10206,-22.86739,6.0,2018-07-13
3443,26064948,Rio Negro,Simepar,H,-49.80194,-26.1097,0.0,1997-10-24
3444,6964618,FORTALEZA DOS NOGUEIRAS - Casa das Irmãs,CEMADEN,P,-46.1814,-6.96459,,2015-08-17
3445,2534411,PAÇO DO LUMIAR - ProcuradoriaMunicipal,CEMADEN,P,-44.10809,-2.53196,,2015-08-17
3446,22694573,SÃO BENTO DO SAPUCAÍ - Centro,CEMADEN,P,-45.73393,-22.68919,,2015-05-18
3447,18624228,COROACI- Centro,CEMADEN,P,-42.284,-18.622,,2014-12-19
3448,4574460,PEDREIRAS - Prefeitura Municipal,CEMADEN,P,-44.60489,-4.57009,,2015-08-17
3449,22324851,JAÚ - Estrada João da Velha,CEMADEN,P,-48.512,-22.318,,2015-08-21
3450,1794631,BOA VISTA DO GURUPI - Hospital Maria Lenilde dos Anjos,CEMADEN,P,-46.30883,-1.78906,,2015-08-22
3451,10733708,MARUIM - Centro de Atividades Augusto Franco,CEMADEN,P,-37.083,-10.734,,2015-08-24
3452,10953707,ARACAJU - APA Morro do Urubu,CEMADEN,P,-37.07414,-10.94779,,2015-08-24
3453,3404435,ITAPECURU MIRIM - Centro de Ensino Wady Fiquene,CEMADEN,P,-44.35254,-3.39619,,2015-08-17
3454,22574741,LIMEIRA - Centro,CEMADEN,P,-47.408,-22.572,,2015-08-18
3455,23354769,IPERÓ - Centro,CEMADEN,P,-47.68775,-23.35175,,2015-09-23
3456,22294254,NOVA FRIBURGO - Vale dos Pinheiros,CEMADEN,P,-42.548,-22.29,,2014-12-17
3457,19654320,ITABIRA - ,CEMADEN,P,-43.2091,-19.6544,,2014-12-17
3458,20004158,CHALÉ - ,CEMADEN,P,-41.5857,-20.0086,,2014-12-17
3459,18664308,SABINÓPOLIS - ,CEMADEN,P,-43.0801,-18.6663,,2014-12-18
3460,23264678,FRANCISCO MORATO - ,CEMADEN,P,-46.7855,-23.2684,,2014-12-19
3461,17994238,ÁGUA BOA - ,CEMADEN,P,-42.3899,-17.9925,,2014-12-19
3462,23434509,UBATUBA - Ubatuba,CEMADEN,H,-45.0852,-23.4305,,2014-12-19
3463,23284675,FRANCISCO MORATO - ,CEMADEN,P,-46.7584,-23.2879,,2014-12-19
3464,23404667,CAIEIRAS - ,CEMADEN,P,-46.6732,-23.4054,,2014-12-19
3465,20044168,CHALÉ - ,CEMADEN,P,-41.6852,-20.0453,,2014-12-19
3466,23164689,JUNDIAÍ - ,CEMADEN,P,-46.8964,-23.1639,,2014-12-19
3467,23394671,CAIEIRAS - ,CEMADEN,P,-46.7156,-23.3956,,2014-12-23
3468,19934040,FUNDÃO - ,CEMADEN,P,-40.4089,-19.9359,,2014-12-23
3469,7143492,BAYEUX - Jardim Planalto,CEMADEN,P,-34.923,-7.148,,2014-12-23
3470,7203588,CAMPINA GRANDE - Alto Branco,CEMADEN,P,-35.886,-7.207,,2014-12-23
3471,7033546,MULUNGU - Centro,CEMADEN,P,-35.462,-7.031,,2014-12-23
3472,6973483,CABEDELO - Centro,CEMADEN,P,-34.836,-6.973,,2014-12-23
3473,7183485,JOÃO PESSOA - Cuiá,CEMADEN,P,-34.859,-7.184,,2014-12-23
3474,7033485,CABEDELO - Praia do Jacaré,CEMADEN,P,-34.851,-7.037,,2014-12-23
3475,7183488,JOÃO PESSOA - Grotão,CEMADEN,P,-34.88,-7.185,,2014-12-23
3476,10233680,PROPRIÁ - PADRAO_TECNAL2013,CEMADEN,P,-36.80482,-10.23227,,2014-12-23
3477,26055305,Francisco Beltrão,Simepar,M,-53.06548,-26.0593,652.0,2010-09-02
3478,25324831,Guaratuba,Simepar,M,-48.58049,-25.84536,0.0,1997-06-01
3479,23484666,SÃO PAULO - Freguesia do Ó,CEMADEN,P,-46.665,-23.476,,2015-08-27
3480,3454478,ARARI - Vigilância em Saúde,CEMADEN,P,-44.77961,-3.45135,,2015-08-17
3481,23964628,GUARUJÁ - Corpo de Bombeiros,CEMADEN,P,-46.28419,-23.95973,,2015-04-28
3482,19654323,ITABIRA - João XXIII,CEMADEN,P,-43.233,-19.654,,2014-12-17
3483,22734690,PEDREIRA - Santa Clara,CEMADEN,P,-46.9242,-22.74153,,2015-08-14
3484,3724336,CHAPADINHA - CAIC Francisco Isaias do Nascimento,CEMADEN,P,-43.36439,-3.72102,,2015-08-18
3485,3974566,SANTA LUZIA - Prefeitura Municipal,CEMADEN,P,-45.65675,-3.97056,,2015-08-17
3486,26285158,Palmas,Simepar,M,-51.9762,-26.4682,1100.0,1998-04-28
3487,25444869,APPA Antonina,Simepar,M,-48.69434,-25.44716,2.0,2014-09-24
3488,8663632,LAJEDO - Centro,CEMADEN,P,-36.32232,-8.66027,,2015-08-25
3489,23544637,FERRAZ DE VASCONCELOS - Centro,CEMADEN,P,-46.366,-23.543,,2015-08-18
3490,5314449,PRESIDENTE DUTRA - UE Pref Remy Alves Soares,CEMADEN,P,-44.48522,-5.30554,,2015-08-17
