fid,field_1,@diffgr:id,@msdata:rowOrder,NomeEstacao,CodEstacao,Bacia,SubBacia,Operadora,Responsavel,Municipio-UF,Latitude,Longitude,Altitude,CodRio,NomeRio,Origem,StatusEstacao
"65","3468",Table3469,"3468",PCH TIGRE JUSANTE,"65831020","6","65",00661 - TIGRE - Tigre Produção de Energia Elétrica Ltda.,00661 - TIGRE - Tigre Produção de Energia Elétrica Ltda.,MANGUEIRINHA-PR,-26.0411,-52.175,828,"65140710",RIO MARRECAS,Setor Elétrico,Ativo
"66","3469",Table3470,"3469",PCH COVÓ MONTANTE,"65831900","6","65",00525 - COVÓ - Covó Geração de Energia Elétrica Ltda.,00525 - COVÓ - Covó Geração de Energia Elétrica Ltda.,MANGUEIRINHA-PR,-25.9797,-52.1614,661,"65140710",RIO MARRECAS,Setor Elétrico,Ativo
"67","3470",Table3471,"3470",PCH COVÓ BARAMENTO,"65832000","6","65",00525 - COVÓ - Covó Geração de Energia Elétrica Ltda.,00525 - COVÓ - Covó Geração de Energia Elétrica Ltda.,MANGUEIRINHA-PR,-25.9722,-52.1514,661,"65140710",RIO MARRECAS,Setor Elétrico,Ativo
"68","3471",Table3472,"3471",PCH CAVERNOSO II VAU DOS RIBEIROS,"65854500","6","65",00028 - COPEL - Copel Geração e Transmissão S.A,00028 - COPEL - Copel Geração e Transmissão S.A,VIRMOND-PR,-25.3811,-52.0261,607,"65160000",RIO CAVERNOSO,Setor Elétrico,Ativo
"69","3472",Table3473,"3472",PCH CAVERNOSO II BARRAMENTO,"65855080","6","65",00028 - COPEL - Copel Geração e Transmissão S.A,00028 - COPEL - Copel Geração e Transmissão S.A,VIRMOND-PR,-25.4878,-52.2156,560,"65160000",RIO CAVERNOSO,Setor Elétrico,Ativo
"70","3473",Table3474,"3473",PCH CAVERNOSO II JUSANTE,"65855110","6","65",00028 - COPEL - Copel Geração e Transmissão S.A,00028 - COPEL - Copel Geração e Transmissão S.A,VIRMOND-PR,-25.5089,-52.2292,514,"65160000",RIO CAVERNOSO,Setor Elétrico,Ativo
"71","3474",Table3475,"3474",UHE SALTO SANTIAGO RIO CHOPINZINHO,"65875500","6","65",00112 - ENGIE - Engie Brasil Energia S.A.,00112 - ENGIE - Engie Brasil Energia S.A.,CHOPINZINHO-PR,-25.7808,-52.4917,540,"65160100",RIO CHOPINZINHO,Setor Elétrico,Ativo
"72","3475",Table3476,"3475",UHE SALTO SANTIAGO RESERVATÓRIO 2,"65883045","6","65",00112 - ENGIE - Engie Brasil Energia S.A.,00112 - ENGIE - Engie Brasil Energia S.A.,SAUDADE DO IGUAÇU-PR,-25.6406,-52.595,491,"65100000",RIO IGUAÇU,Setor Elétrico,Ativo
"73","3476",Table3477,"3476",UHE SALTO SANTIAGO RESERVATÓRIO 1,"65883048","6","65",00112 - ENGIE - Engie Brasil Energia S.A.,00112 - ENGIE - Engie Brasil Energia S.A.,SAUDADE DO IGUAÇU-PR,-25.605,-52.6053,490,"65100000",RIO IGUAÇU,Setor Elétrico,Ativo
"74","3477",Table3478,"3477",UHE SALTO SANTIAGO BARRAMENTO,"65883051","6","65",00112 - ENGIE - Engie Brasil Energia S.A.,00112 - ENGIE - Engie Brasil Energia S.A.,SAUDADE DO IGUAÇU-PR,-25.6103,-52.6164,491,"65100000",RIO IGUAÇU,Setor Elétrico,Ativo
