,Q_obs1,Q_obs2,pme,etp,MGB,SAC,GR4,HYMOD,SMAP,IPH2
2017-10-23,50.0,48.702,0.02,4.6,37.91,76.347,45.062,65.68,66.506,77.989
2017-10-24,59.35,60.946,0.02,4.048,28.58,74.831,48.842,67.882,66.896,81.19
2017-10-25,60.1,63.912,19.38,3.081,30.23,71.386,55.51,71.49,68.376,80.034
2017-10-26,61.98,63.742,2.89,3.3,37.79,74.584,65.984,72.686,70.335,78.369
2017-10-27,64.67,63.822,10.92,3.897,34.72,77.374,73.323,73.508,71.601,79.061
2017-10-28,65.21,64.882,0.25,4.251,32.46,78.708,69.583,72.771,72.7,79.716
2017-10-29,64.67,66.019,12.59,4.774,38.1,79.399,67.766,72.161,73.552,79.007
2017-10-30,69.78,72.781,39.65,4.157,61.5,99.353,70.034,81.81,84.117,90.529
2017-10-31,96.9,94.873,0.27,4.315,63.25,126.728,73.978,86.077,91.858,99.164
2017-11-01,104.68,106.805,0.02,4.05,52.16,128.358,76.598,89.485,94.671,107.334
2017-11-02,108.18,113.025,0.0,3.7,45.06,121.318,82.928,91.246,95.002,113.759
2017-11-03,107.88,113.589,13.36,4.945,42.87,113.351,92.323,92.513,95.094,107.645
2017-11-04,106.36,111.506,27.14,3.743,54.18,114.103,107.014,97.036,99.759,108.735
2017-11-05,106.36,114.77,0.76,4.029,68.8,126.147,111.399,97.978,103.764,109.765
2017-11-06,106.36,117.207,0.01,4.019,60.37,125.399,99.932,97.637,104.887,110.74
2017-11-07,106.05,116.819,0.0,4.059,51.0,116.895,95.81,95.869,104.349,111.663
2017-11-08,104.84,115.036,0.88,4.889,45.75,107.826,98.187,92.814,102.779,105.662
2017-11-09,100.66,112.955,0.03,4.213,41.68,98.604,103.147,88.732,100.493,99.984
2017-11-10,96.32,111.362,18.47,3.702,41.74,90.089,98.177,86.45,99.713,94.611
2017-11-11,88.23,107.448,0.18,4.546,47.58,83.332,83.586,82.71,99.533,89.526
2017-11-12,76.65,88.662,0.0,5.058,43.05,77.159,74.315,78.714,97.867,84.715
2017-11-13,59.35,69.358,0.0,5.115,37.37,71.058,69.049,74.455,95.232,80.163
2017-11-14,48.32,55.715,0.02,4.766,34.0,65.057,66.698,70.009,91.938,75.855
2017-11-15,41.6,44.132,0.0,5.06,31.33,59.12,66.859,65.486,88.201,71.779
2017-11-16,34.43,35.483,3.14,5.27,29.25,53.745,65.039,61.066,84.15,67.922
2017-11-17,30.24,30.193,3.25,4.354,28.61,49.115,58.118,56.823,80.067,64.272
2017-11-18,32.65,28.345,48.61,4.648,38.41,51.208,53.16,70.185,90.269,70.515
2017-11-19,38.08,42.204,0.06,5.412,58.08,67.572,51.523,76.74,96.143,76.422
2017-11-20,62.25,60.76,0.35,5.322,49.47,74.917,53.328,83.11,96.114,82.012
2017-11-21,68.17,68.067,22.14,4.773,45.35,73.642,59.327,91.503,96.491,89.7
2017-11-22,74.68,74.164,0.19,5.17,52.93,78.314,71.368,96.325,96.566,87.278
2017-11-23,76.09,78.269,0.0,6.11,46.33,81.515,91.753,98.959,94.699,84.987
2017-11-24,70.32,72.737,0.0,5.404,39.26,76.906,105.079,99.377,91.779,82.819
2017-11-25,58.35,62.016,9.39,4.132,38.73,71.782,96.579,98.503,88.828,78.368
2017-11-26,53.75,53.177,4.23,4.383,42.2,66.945,92.821,95.947,86.479,74.157
2017-11-27,56.04,52.117,0.04,4.535,37.84,62.295,87.318,92.187,83.873,70.172
2017-11-28,53.5,51.674,0.18,4.735,33.38,57.489,75.76,87.608,80.812,66.402
2017-11-29,49.52,48.074,0.22,4.733,30.6,52.572,67.361,82.51,77.413,62.834
